unix_time,frontend_0_100,sent_0_100,vjoy_axis,sim_connect
1778443248.810687,42.344732,42.344732,13875,0.818116
1778443248.811188,48.119014,48.119014,15767,0.818116
1778443248.875362,15.228628,15.228628,4989,0.211665
1778443248.875861,25.39394,25.39394,8320,0.211665
1778443248.876361,13.401192,13.401192,4391,0.211665
1778443248.876863,22.346667,22.346667,7322,0.211665
1778443248.876863,19.665067,19.665067,6443,0.211665
1778443248.878042,17.305259,17.305259,5670,0.211665
1778443248.931934,11.793049,11.793049,3864,0.211665
1778443248.934461,10.377883,10.377883,3400,0.211665
1778443248.935874,9.132537,9.132537,2992,0.211665
1778443248.936878,8.036633,8.036633,2633,0.211665
1778443248.977217,7.072237,7.072237,2317,0.026935
1778443248.981236,6.223569,6.223569,2039,0.026935
1778443249.013543,4.819531,4.819531,1579,0.026935
1778443249.045476,3.732245,3.732245,1222,0.007989
1778443249.078578,2.890251,2.890251,947,0.007989
1778443249.127759,1.969625,1.969625,645,0.007989
1778443249.313456,1.039434,1.039434,340,0.0
1778443249.418972,0.224176,0.224176,73,0.0
1778443249.541153,0.0,0.0,0,0.0
1778445323.946072,0.0,0.0,,0.999999
1778445396.674619,0.0,0.0,,0.999999
1778445478.986741,0.0,0.0,,0.999999
1778445699.185763,0.0,0.0,,0.999999
1778445759.958841,1.25,1.25,,0.999999
1778445759.965486,3.794,3.794,,0.999999
1778445759.965486,2.55,2.55,,0.999999
1778445759.966495,4.88872,4.88872,,0.999999
1778445759.966495,6.699825,6.699825,,0.999999
1778445759.967523,5.852074,5.852074,,0.999999
1778445760.016728,9.188455,9.188455,,0.999999
1778445760.018866,8.102344,8.102344,,0.999999
1778445760.055412,10.02954,10.02954,,0.999999
1778445760.112481,10.949171,10.949171,,0.999999
1778445760.186721,11.878356,11.878356,,0.999999
1778445760.502048,12.692733,12.692733,,0.999999
1778445937.179769,0.0,0.0,,0.999999
1778446035.568195,2.418,2.418,,0.0
1778446035.572709,3.92784,3.92784,,0.0
1778446035.574720,1.1,1.1,,0.0
1778446035.617710,7.239719,7.239719,,0.0
1778446035.624749,5.556499,5.556499,,0.0
1778446035.748375,13.411466,13.411466,,0.0
1778446035.749382,10.456439,10.456439,,0.0
1778446035.749889,14.75209,14.75209,,0.0
1778446035.750388,16.031839,16.031839,,0.0
1778446035.755924,8.870953,8.870953,,0.0
1778446035.757430,12.001666,12.001666,,0.0
1778446035.800768,17.208019,17.208019,,0.0
1778446035.801768,21.198286,21.198286,,0.0
1778446035.802268,19.29789,19.29789,,0.0
1778446035.802768,20.282143,20.282143,,0.0
1778446035.803267,18.293056,18.293056,,0.0
1778446035.808783,22.104491,22.104491,,0.0
1778446035.859246,23.001952,23.001952,,0.0
1778446035.867280,23.891718,23.891718,,0.0
1778446035.889864,25.557747,25.557747,,0.0
1778446035.894405,24.724712,24.724712,,0.0
1778446035.930310,27.129919,27.129919,,0.0
1778446035.970506,28.529409,28.529409,,0.0
1778446036.002800,29.613174,29.613174,,0.0
1778446036.034123,30.452442,30.452442,,0.0
1778446036.085267,31.370087,31.370087,,0.0
1778446036.261945,32.297265,32.297265,,0.0
1778446036.378625,33.109883,33.109883,,0.0
1778446036.659675,34.108847,34.108847,,0.0
1778446036.791970,35.017891,35.017891,,0.0
1778446036.794622,36.003855,36.003855,,0.0
1778446036.795637,37.97425,37.97425,,0.0
1778446036.796143,36.955385,36.955385,,0.0
1778446036.841980,39.095259,39.095259,,0.0
1778446036.874087,40.389369,40.389369,,0.0
1778446036.881109,41.667527,41.667527,,0.0
1778446036.940214,42.845333,42.845333,,0.0
1778446036.973969,43.945426,43.945426,,0.0
1778446037.003481,44.841338,44.841338,,0.0
1778446037.055242,46.003636,46.003636,,0.0
1778446037.106059,46.87843,46.87843,,0.0
1778446037.172242,47.760348,47.760348,,0.0
1778446037.309253,48.591939,48.591939,,0.0
1778446037.489799,49.550286,49.550286,,0.0
1778446037.556132,50.41341,50.41341,,0.0
1778446037.606046,51.272047,51.272047,,0.0
1778446037.664122,52.532064,52.532064,,0.0
1778446037.685273,53.752831,53.752831,,0.0
1778446037.730596,55.074192,55.074192,,0.0
1778446037.845571,56.379454,56.379454,,0.0
1778446037.846071,57.622249,57.622249,,0.0
1778446037.846573,58.77267,58.77267,,0.0
1778446037.853598,59.801556,59.801556,,0.0
1778446037.885769,60.648325,60.648325,,0.0
1778446037.956940,61.636295,61.636295,,0.0
1778446038.014965,62.482421,62.482421,,0.0
1778446038.116206,63.358109,63.358109,,0.0
1778446038.364360,64.195576,64.195576,,0.0
1778446040.488488,69.828694,69.828694,,0.0
1778446040.491015,68.128479,68.128479,,0.0
1778446040.491015,66.596693,66.596693,,0.0
1778446040.492018,68.953062,68.953062,,0.0
1778446040.493032,65.233333,65.233333,,0.0
1778446040.517658,70.649251,70.649251,,0.0
1778446040.543096,71.471341,71.471341,,0.0
1778446040.544606,72.975406,72.975406,,0.0
1778446040.590956,74.234155,74.234155,,0.0
1778446040.622398,75.252929,75.252929,,0.0
1778446040.664676,76.185869,76.185869,,0.0
1778446040.687292,77.046337,77.046337,,0.0
1778446040.739959,78.081161,78.081161,,0.0
