Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,861.3760,NA,27.67790000000000,26.70910000000000,0.00000000000000,0.02930000000000,11.9344,833.6981,27.6779,27.6779,0.0000,0.1713,27.5359,0.1351,27.4008,-13.2919,833.6981,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,875.1285,NA,13.75250000000000,13.31780000000000,0.00000000000000,0.16780000000000,11.4997,861.3760,13.7525,13.7525,0.0000,0.0293,13.8910,0.2778,13.6132,14.3601,861.3760,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,861.8282,NA,39.96460000000000,40.02690000000000,0.26470000000000,0.25890000000000,24.8000,822.0943,39.9986,39.7339,0.2647,39.8131,0.1797,0.1585,0.0212,13.4724,822.0943,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,889.0932,NA,13.96470000000000,13.34470000000000,0.00000000000000,0.04330000000000,10.8797,875.1285,13.9647,13.9647,0.0000,0.1678,13.8402,0.1446,13.6956,0.4078,875.1285,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,902.8953,NA,13.80210000000000,13.28420000000000,0.00000000000000,0.02870000000000,10.3618,889.0932,13.8021,13.8021,0.0000,0.0433,13.7875,0.1333,13.6542,0.6805,889.0932,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,917.2815,NA,14.38620000000000,13.32490000000000,0.00000000000000,0.13170000000000,9.3005,902.8953,14.3862,14.3862,0.0000,0.0287,14.4892,0.3315,14.1577,0.4772,902.8953,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,901.4339,NA,39.60570000000000,26.62890000000000,0.25690000000000,0.36100000000000,11.8232,862.0929,39.5979,39.3410,0.2569,39.4168,0.2852,0.2806,0.0046,13.3697,862.0929,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,954.1682,NA,36.88670000000000,40.05020000000000,0.00000000000000,0.02600000000000,12.4640,917.2815,36.8867,36.8867,0.0000,0.1317,36.7810,0.1107,36.6703,-25.6640,917.2815,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,965.5377,NA,11.36950000000000,13.34310000000000,0.00000000000000,0.17430000000000,14.4376,954.1682,11.3695,11.3695,0.0000,0.0260,11.5178,0.2858,11.2320,23.5436,954.1682,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,954.6153,NA,53.18140000000000,66.71820000000001,0.24250000000000,0.23120000000000,25.3600,901.6908,53.1670,52.9245,0.2425,52.9955,0.1602,0.1504,0.0098,-27.1203,901.6908,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,979.4671,NA,13.92940000000000,13.28930000000000,0.00000000000000,0.20690000000000,13.7975,965.5377,13.9294,13.9294,0.0000,0.1743,13.9620,0.3178,13.6442,-1.9198,965.5377,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,981.5439,NA,26.92860000000000,26.69730000000000,0.24450000000000,0.23560000000000,25.1287,954.8578,26.9306,26.6861,0.2445,26.7505,0.1712,0.1613,0.0099,26.4697,954.8578,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,993.6335,NA,14.16640000000000,13.40800000000000,0.00000000000000,0.19540000000000,13.0391,979.4671,14.1664,14.1664,0.0000,0.2069,14.1549,0.3156,13.8393,0.5214,979.4671,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,1007.2289,NA,13.59540000000000,13.35170000000000,0.00000000000000,0.10950000000000,12.7954,993.6335,13.5954,13.5954,0.0000,0.1954,13.5095,0.2292,13.2803,0.8147,993.6335,NA,NA,NA
